title,link,search_term
廣告🌈晨曦㊣香氛館💎【John Varvatos】工匠系列男性淡香水 Blu/藤編/純淨✨玻璃試香瓶1/2/5ml✨現貨正品$35 - $140已售出 451新北市新莊區找相似,https://shopee.tw/🌈晨曦㊣香氛館💎【John-Varvatos】工匠系列男性淡香水-Blu-藤編-純淨✨玻璃試香瓶1-2-5ml✨現貨正品-i.32416120.13811221020?sp_atk=d9217ba4-5a6c-448c-9fc7-2c8983d0d661&xptdk=d9217ba4-5a6c-448c-9fc7-2c8983d0d661,John Varvatos
"6.9折廣告🌟今日下單🌟 買一送一 蔚藍香水 香奈♥兒香水 現貨開箱錄影 BLEU香水 藍色香水 蔚藍香精 男性淡香水100ml滿額折$150$1,314 - $2,843已售出 26雲林縣虎尾鎮找相似",https://shopee.tw/🌟今日下單🌟-買一送一-蔚藍香水-香奈♥兒香水-現貨開箱錄影-BLEU香水-藍色香水-蔚藍香精-男性淡香水100ml-i.22760576.18425787613?sp_atk=f00089b4-148c-4d42-b86e-9ed96b26cb8d&xptdk=f00089b4-148c-4d42-b86e-9ed96b26cb8d,John Varvatos
"蝦皮優選廣告現貨✨John Varvatos 約翰瓦維托斯 Artisan 工匠藤編 男性淡香水 EDT 🚚超取免運滿額折$70$1,400已售出 7臺北市大同區找相似",https://shopee.tw/現貨✨John-Varvatos-約翰瓦維托斯-Artisan-工匠藤編-男性淡香水-EDT-🚚超取免運-i.88594781.13263017240?sp_atk=e90c5df3-c6d3-4d89-a7ff-9d451b4c9e57&xptdk=e90c5df3-c6d3-4d89-a7ff-9d451b4c9e57,John Varvatos
"7折廣告現貨 Diptyqu 蒂普-提克同款 香水 黑標 白標 75ml 100ml 夏日之光 檀道 無花果 肌膚之華 香水 香滿額折$150$1,988$1,392已售出 9雲林縣虎尾鎮找相似",https://shopee.tw/現貨-Diptyqu-蒂普-提克同款-香水-黑標-白標-75ml-100ml-夏日之光-檀道-無花果-肌膚之華-香水-香-i.22760576.19825785470?sp_atk=4dc42047-b906-438f-8706-fb9c3fb6961d&xptdk=4dc42047-b906-438f-8706-fb9c3fb6961d,John Varvatos
2.5折廣告抖音爆款【香水啫喱】閃耀星河 香膏 持久淡香 學生 平價 固體香膏 液體 香氣清新自然 淡香水 男女 約會神器  日用品滿額贈$199$49臺中市大肚區找相似,https://shopee.tw/抖音爆款【香水啫喱】閃耀星河-香膏-持久淡香-學生-平價-固體香膏-液體-香氣清新自然-淡香水-男女-約會神器-日用品-i.789332430.17279734239?sp_atk=38a1fb15-8e80-40ac-90b1-13fb553c12df&xptdk=38a1fb15-8e80-40ac-90b1-13fb553c12df,John Varvatos
"HUAHUA香水美妝 John Varvatos Artisan 工匠藤編男性淡香水 125ML【全新正品】$899 - $1,180已售出 227臺北市中山區找相似",https://shopee.tw/HUAHUA香水美妝-John-Varvatos-Artisan-工匠藤編男性淡香水-125ML【全新正品】-i.935762.264171914?sp_atk=54381640-7119-44c9-a079-ed791f303c59&xptdk=54381640-7119-44c9-a079-ed791f303c59,John Varvatos
"愛妮❤️John Varvatos Artisan Pure 工匠純淨 男性淡香水75ml /125ml /TESTER$940 - $1,175已售出 446高雄市路竹區找相似",https://shopee.tw/愛妮❤️John-Varvatos-Artisan-Pure-工匠純淨-男性淡香水75ml-125ml-TESTER-i.48341460.1154662737?sp_atk=be612876-597d-4d86-ac00-73bd6f20837d&xptdk=be612876-597d-4d86-ac00-73bd6f20837d,John Varvatos
"蝦皮優選香親香愛～John Varvatos 工匠藤編男性淡香水 125/ 75ml/Tester, Artisan$898 - $1,258已售出 264臺北市大同區找相似",https://shopee.tw/香親香愛～John-Varvatos-工匠藤編男性淡香水-125-75ml-Tester-Artisan-i.1285345.9248979?sp_atk=ed520cba-0c33-42da-9e87-f7a257a9dcf3&xptdk=ed520cba-0c33-42da-9e87-f7a257a9dcf3,John Varvatos
蝦皮優選John Varvatos Artisan 工匠藤編 男性淡香水 玻璃分享噴瓶 1ML 2ML 5ML加價購$35 - $99已售出 489彰化縣彰化市找相似,https://shopee.tw/John-Varvatos-Artisan-工匠藤編-男性淡香水-玻璃分享噴瓶-1ML-2ML-5ML-i.13057848.6201623548?sp_atk=76c75955-4fe0-46d8-bc45-f14b9b9279ad&xptdk=76c75955-4fe0-46d8-bc45-f14b9b9279ad,John Varvatos
"蝦皮優選John Varvatos Artisan Pure 工匠純淨 男性淡香水 玻璃分享噴瓶 1ML 2ML 5ML加價購$40 - $155已售出 1,346彰化縣彰化市找相似",https://shopee.tw/John-Varvatos-Artisan-Pure-工匠純淨-男性淡香水-玻璃分享噴瓶-1ML-2ML-5ML-i.13057848.3901720409?sp_atk=44dfd922-85d8-4761-b719-ba19525fc3a8&xptdk=44dfd922-85d8-4761-b719-ba19525fc3a8,John Varvatos
